[ ] merge original todo list into github
task,category
"BUG: scout admiral with more than one rule: first completely execute the first rule, then disable that if another scout rule exists",Bugs
admiral box slow when >50 admirals (astax),Bugs
BUG: main window deactivates briefly when clicking on either sort or filter icon -> entire frame is redrawn twice before menu opens...,Bugs
BUG: mouse-wheel not working in planet-view screen after a tick happens -> needs to switch back to the planets screen to get the sorting right,Bugs
"BUG: battle-calc: fight ships against PD (eg 20 LT), then subtract some LT -> average condition turns negative",Bugs
in speed galaxies have the tooltips for production cost reflect the proper value -> http://www.spaceciv.com/forum/thread.php?threadid=1898,Bugs
"when deleting a battle-report, colors seem to get mixed up, which can even lead to crash -> http://www.spaceciv.com/forum/thread.php?threadid=2510",Bugs
"when ship moves to a sun (or planet?), that is then renamed by the owner, the new name is not reflected in ship-screen",Bugs
copy/paste governor rules loses hierarchy information in case of groups,Bugs
"BUG: a ship on the queue that is running out of resources is not built -> queue switches to wealth -> if resources are bought, the planets’ production is not updated immediately, but starts building 1 turn later",Bugs
BUG: you can read ship names of an ally in battle report -> ship-names are shown for the first player included in the report,Bugs
BUG: can’t assign admiral to ship in radar control window (radar marks),Bugs
governor “create-group” does not correctly treat child-rules -> http://www.spaceciv.com/forum/thread.php?threadid=3619,Bugs
dealing negative reputation when killing an neutral bystander (see BUG_savegame_turn_0455_before_inerz.dat) -> http://cosmicsupremacy.com/forum/thread.php?postid=41965#post41965,Bugs
Admiral change with radar tool not working -> http://cosmicsupremacy.com/forum/thread.php?postid=44169#post44169,Bugs
not able to declare war during havoc in a team galaxy -> http://cosmicsupremacy.com/forum/thread.php?postid=44704#post44704,Bugs
in-game message sent twice under certain circumstances (see PM) -> http://cosmicsupremacy.com/forum/thread.php?threadid=4853,Bugs
"more accurate PD destruction: put destroyed facilities back in, so that we don’t end up with more destroyed hitpoints than were actually inflicted -> http://cosmicsupremacy.com/forum/thread.php?postid=51868#post51868",Bugs
Tick while synchronising -> http://cosmicsupremacy.com/forum/thread.php?postid=55813#post55813,Bugs
Gov/Testbed/Assign Governor -> http://cosmicsupremacy.com/forum/thread.php?threadid=5466,Bugs
Pop up error message when trying to save a governor while being disconnected,Bugs
double bio-bombing news message sent -> http://cosmicsupremacy.com/forum/thread.php?postid=60941#post60941,Bugs
governor: Conditions based on a planet’s current defense would also be nice. -> “If Planet Defense (as seen on the Planets screen icons) is lower than|higher than Poor|Good|Etc” -> “If Light Firepower|Heavy firepower|Shield Strength is lower than|higher than“) -> “If Shield Strength|Total Hitpoints|Total Units is lower than|higher than“,Governor Suggestions
governor: Stop|Break processing rules,Governor Suggestions
gov-condition: if total science is higher|lower than 0,Governor Suggestions
governor: sell facility rule,Governor Suggestions
new governor conditions: -> if number of turns till you gain population at current rate (food surplus / remaining capacity = 1 / number of turns to gain population) -> if total number of turns that it currently takes to increase population (food surplus / total food box capacity right now = 1 / number of turns it takes to gain population at current development stage) -> similar thing for production?,Governor Suggestions
"NOT condition for the governors -> or even better, support an “else branch”",Governor Suggestions
change the condition selection interface. use “add condition” use a small “delete” icon to remove certain conditions again,Governor Suggestions
allow setting of tooltips/comments for a rule,Governor Suggestions
governor: remaining turns on population growth http://www.spaceciv.com/forum/thread.php?postid=9533#post9533,Governor Suggestions
"rename “population growth progress” condition to “food storage”, or clearer still to say “progress to next population growth”",Governor Suggestions
Admiral / Governor suggestions by TerraNova -> http://www.spaceciv.com/forum/thread.php?threadid=1793,Governor Suggestions
"gov-condition: allow to set food-surplus to make it dependent on food-storage-box (percentage of food-storage-size), to maintain a steady growth (new type for ConditionValue) -> http://www.spaceciv.com/forum/thread.php?threadid=2284 also see item #8 and #14",Governor Suggestions
find a better solution for right clicking link-style paramaters in govs and admirals -> no one ever finds them -> possible popup a secondary menu (office style) with additional options -> or display a “additional options” icon (just like the filter and sort icons),Governor Suggestions
governor: “if conditions” know if they should be “if” or “while” (as well as “all” or “a”) -> While currently no production ->->Convert a Worker to a Farmer,Governor Suggestions
